Epoch,Loss,Accuracy
1,0.32747196704149245,94.23076923076923
2,0.0006334289908409118,100.0
3,0.00010345727205276489,100.0
4,0.00010601505637168885,100.0
5,6.432384252548218e-05,100.0
6,9.596645832061767e-05,100.0
7,4.845559597015381e-05,100.0
8,5.765557289123535e-05,100.0
9,4.271790385246277e-05,100.0
10,4.247799515724182e-05,100.0
11,4.391223192214966e-05,100.0
12,3.656968474388123e-05,100.0
13,3.198981285095215e-05,100.0
14,0.00022170916199684143,100.0
15,6.513670086860657e-05,100.0
16,6.340891122817993e-05,100.0
17,4.74490225315094e-05,100.0
18,4.865601658821106e-05,100.0
19,2.804398536682129e-05,100.0
20,2.759099006652832e-05,100.0
1,0.2949498988687992,94.23076923076923
1,0.41245486587285995,92.94871794871794
2,0.14081290289759635,98.71794871794872
3,0.09436222687363624,98.71794871794872
4,0.06510084420442581,98.07692307692308
5,0.13193060606718063,98.71794871794872
6,0.04342896491289139,98.71794871794872
7,0.05393095389008522,99.35897435897436
8,0.029029016196727753,99.35897435897436
9,0.014420848339796066,99.35897435897436
10,0.012423715740442275,99.35897435897436
11,0.11223060563206673,98.71794871794872
12,0.03998780697584152,98.71794871794872
13,0.012143264710903167,100.0
14,0.004781057685613632,100.0
15,0.0024309225380420687,100.0
16,0.001361151784658432,100.0
17,0.0009692564606666565,100.0
18,0.0008414126932621002,100.0
19,0.00035443082451820375,100.0
20,0.00048329979181289674,100.0
1,0.4122553415596485,92.94871794871794
1,0.4120624475181103,92.94871794871794
1,0.41206182166934013,92.94871794871794
1,0.4075358182191849,93.58974358974359
1,0.6227267920970917,86.53846153846153
2,0.09827360212802887,98.07692307692308
3,0.09226211484055966,98.07692307692308
4,0.024445556348655372,100.0
5,0.0266554594039917,99.35897435897436
6,0.008450508862733842,100.0
7,0.0016533993184566498,100.0
8,0.014581198245286942,99.35897435897436
9,0.14370953764300792,98.71794871794872
10,0.06974138071527705,98.07692307692308
11,0.06444186568260193,98.71794871794872
12,0.03098497516475618,99.35897435897436
13,0.016392213106155396,100.0
14,0.003178061047219671,100.0
15,0.010137474536895752,98.71794871794872
1,0.6253925621509552,85.8974358974359
2,0.11599810747429729,98.71794871794872
3,0.11168430168181658,98.71794871794872
4,0.029624048375990242,100.0
5,0.018158518278505655,98.71794871794872
6,0.008326904475688934,100.0
7,0.002378227561712265,100.0
8,0.002027793973684311,100.0
9,0.004178578902792651,100.0
10,0.0007956596702570096,100.0
11,0.0014197265089023858,100.0
12,0.00042149871587753295,100.0
13,0.000581735628657043,100.0
14,0.00030368268489837645,100.0
15,0.0004636054247384891,100.0
